Date,latitude (degrees_north),longitude (degrees_east),u10 (m s**-1),v10 (m s**-1)
2015-01-01 00:00:00,51.5,-8.0,5.8,8.65
2015-01-01 01:00:00,51.5,-8.0,6.92,7.14
2015-01-01 02:00:00,51.5,-8.0,5.92,8.09
2015-01-01 03:00:00,51.5,-8.0,4.25,10.31
2015-01-01 04:00:00,51.5,-8.0,5.29,11.18
2015-01-01 05:00:00,51.5,-8.0,5.63,11.93
2015-01-01 06:00:00,51.5,-8.0,5.42,12.86
2015-01-01 07:00:00,51.5,-8.0,5.84,13.81
2015-01-01 08:00:00,51.5,-8.0,6.28,14.36
2015-01-01 09:00:00,51.5,-8.0,7.15,14.74
2015-01-01 10:00:00,51.5,-8.0,6.82,15.55
2015-01-01 11:00:00,51.5,-8.0,8.46,14.85
2015-01-01 12:00:00,51.5,-8.0,9.71,14.34
2015-01-01 13:00:00,51.5,-8.0,10.97,13.49
2015-01-01 14:00:00,51.5,-8.0,11.16,12.7
2015-01-01 15:00:00,51.5,-8.0,11.6,12.43
2015-01-01 16:00:00,51.5,-8.0,12.26,11.86
2015-01-01 17:00:00,51.5,-8.0,13.26,10.99
2015-01-01 18:00:00,51.5,-8.0,13.59,10.08
2015-01-01 19:00:00,51.5,-8.0,14.31,8.07
2015-01-01 20:00:00,51.5,-8.0,14.16,4.34
2015-01-01 21:00:00,51.5,-8.0,13.63,1.25
2015-01-01 22:00:00,51.5,-8.0,12.43,-0.26
2015-01-01 23:00:00,51.5,-8.0,11.62,-0.72
2015-01-02 00:00:00,51.5,-8.0,10.65,-1.27
2015-01-02 01:00:00,51.5,-8.0,10.46,-2.37
2015-01-02 02:00:00,51.5,-8.0,9.68,-2.58
2015-01-02 03:00:00,51.5,-8.0,9.8,-2.8
2015-01-02 04:00:00,51.5,-8.0,9.35,-2.34
2015-01-02 05:00:00,51.5,-8.0,9.51,-1.96
2015-01-02 06:00:00,51.5,-8.0,9.96,-1.68
2015-01-02 07:00:00,51.5,-8.0,9.74,-1.83
2015-01-02 08:00:00,51.5,-8.0,8.74,-1.79
2015-01-02 09:00:00,51.5,-8.0,7.91,-1.38
2015-01-02 10:00:00,51.5,-8.0,7.33,-1.06
2015-01-02 11:00:00,51.5,-8.0,7.45,-0.65
2015-01-02 12:00:00,51.5,-8.0,6.7,0.07
2015-01-02 13:00:00,51.5,-8.0,6.82,0.98
2015-01-02 14:00:00,51.5,-8.0,6.65,1.49
2015-01-02 15:00:00,51.5,-8.0,6.13,2.47
2015-01-02 16:00:00,51.5,-8.0,5.83,3.06
2015-01-02 17:00:00,51.5,-8.0,6.09,4.11
2015-01-02 18:00:00,51.5,-8.0,6.01,4.99
2015-01-02 19:00:00,51.5,-8.0,6.05,5.52
2015-01-02 20:00:00,51.5,-8.0,5.69,6.0
2015-01-02 21:00:00,51.5,-8.0,4.59,6.97
2015-01-02 22:00:00,51.5,-8.0,3.11,8.13
2015-01-02 23:00:00,51.5,-8.0,0.61,8.75
2015-01-03 00:00:00,51.5,-8.0,-1.54,10.86
2015-01-03 01:00:00,51.5,-8.0,-2.02,8.14
2015-01-03 02:00:00,51.5,-8.0,-5.22,5.51
2015-01-03 03:00:00,51.5,-8.0,-6.9,4.95
2015-01-03 04:00:00,51.5,-8.0,-4.63,4.64
2015-01-03 05:00:00,51.5,-8.0,-0.37,4.32
2015-01-03 06:00:00,51.5,-8.0,6.09,5.28
2015-01-03 07:00:00,51.5,-8.0,12.08,4.38
2015-01-03 08:00:00,51.5,-8.0,14.29,3.79
2015-01-03 09:00:00,51.5,-8.0,14.46,3.28
2015-01-03 10:00:00,51.5,-8.0,14.23,2.58
2015-01-03 11:00:00,51.5,-8.0,12.84,0.45
2015-01-03 12:00:00,51.5,-8.0,7.52,-3.36
2015-01-03 13:00:00,51.5,-8.0,1.31,-5.86
2015-01-03 14:00:00,51.5,-8.0,-2.98,-6.14
2015-01-03 15:00:00,51.5,-8.0,-5.67,-4.87
2015-01-03 16:00:00,51.5,-8.0,-6.35,-3.25
2015-01-03 17:00:00,51.5,-8.0,-5.97,-3.04
2015-01-03 18:00:00,51.5,-8.0,-5.87,-3.88
2015-01-03 19:00:00,51.5,-8.0,-6.35,-3.89
2015-01-03 20:00:00,51.5,-8.0,-6.46,-4.12
2015-01-03 21:00:00,51.5,-8.0,-6.72,-3.5
2015-01-03 22:00:00,51.5,-8.0,-6.06,-0.92
2015-01-03 23:00:00,51.5,-8.0,-5.38,0.69
2015-01-04 00:00:00,51.5,-8.0,-4.89,1.92
2015-01-04 01:00:00,51.5,-8.0,-4.25,2.33
2015-01-04 02:00:00,51.5,-8.0,-3.32,2.45
2015-01-04 03:00:00,51.5,-8.0,-2.83,2.36
2015-01-04 04:00:00,51.5,-8.0,-2.43,2.63
2015-01-04 05:00:00,51.5,-8.0,-2.14,3.13
2015-01-04 06:00:00,51.5,-8.0,-1.9,3.8
2015-01-04 07:00:00,51.5,-8.0,-1.06,4.51
2015-01-04 08:00:00,51.5,-8.0,-1.28,4.78
2015-01-04 09:00:00,51.5,-8.0,-1.47,5.08
2015-01-04 10:00:00,51.5,-8.0,-1.35,5.53
2015-01-04 11:00:00,51.5,-8.0,-0.16,5.59
2015-01-04 12:00:00,51.5,-8.0,0.42,5.34
2015-01-04 13:00:00,51.5,-8.0,1.02,4.92
2015-01-04 14:00:00,51.5,-8.0,1.52,4.67
2015-01-04 15:00:00,51.5,-8.0,2.07,4.86
2015-01-04 16:00:00,51.5,-8.0,2.39,5.32
2015-01-04 17:00:00,51.5,-8.0,2.95,5.78
2015-01-04 18:00:00,51.5,-8.0,3.52,6.12
2015-01-04 19:00:00,51.5,-8.0,4.15,6.44
2015-01-04 20:00:00,51.5,-8.0,4.2,6.63
2015-01-04 21:00:00,51.5,-8.0,4.06,6.84
2015-01-04 22:00:00,51.5,-8.0,2.52,7.01
2015-01-04 23:00:00,51.5,-8.0,1.89,7.8
2015-01-05 00:00:00,51.5,-8.0,1.71,8.34
2015-01-05 01:00:00,51.5,-8.0,1.51,8.71
2015-01-05 02:00:00,51.5,-8.0,1.55,9.17
2015-01-05 03:00:00,51.5,-8.0,1.84,9.5
2015-01-05 04:00:00,51.5,-8.0,2.37,9.43
2015-01-05 05:00:00,51.5,-8.0,3.09,9.29
2015-01-05 06:00:00,51.5,-8.0,3.62,8.88
2015-01-05 07:00:00,51.5,-8.0,3.52,8.6
2015-01-05 08:00:00,51.5,-8.0,2.98,8.45
2015-01-05 09:00:00,51.5,-8.0,2.52,8.49
2015-01-05 10:00:00,51.5,-8.0,1.98,8.73
2015-01-05 11:00:00,51.5,-8.0,1.88,9.5
2015-01-05 12:00:00,51.5,-8.0,1.96,9.86
2015-01-05 13:00:00,51.5,-8.0,1.99,10.03
2015-01-05 14:00:00,51.5,-8.0,2.37,10.1
2015-01-05 15:00:00,51.5,-8.0,2.89,9.9
2015-01-05 16:00:00,51.5,-8.0,3.31,9.49
2015-01-05 17:00:00,51.5,-8.0,3.0,9.1
2015-01-05 18:00:00,51.5,-8.0,2.49,9.23
2015-01-05 19:00:00,51.5,-8.0,2.52,9.54
2015-01-05 20:00:00,51.5,-8.0,3.22,9.81
2015-01-05 21:00:00,51.5,-8.0,3.83,9.82
2015-01-05 22:00:00,51.5,-8.0,4.02,10.1
2015-01-05 23:00:00,51.5,-8.0,4.19,11.14
2015-01-06 00:00:00,51.5,-8.0,3.56,12.36
2015-01-06 01:00:00,51.5,-8.0,6.12,11.83
2015-01-06 02:00:00,51.5,-8.0,11.76,0.43
2015-01-06 03:00:00,51.5,-8.0,11.0,-5.3
2015-01-06 04:00:00,51.5,-8.0,9.43,-4.4
2015-01-06 05:00:00,51.5,-8.0,9.43,-3.04
2015-01-06 06:00:00,51.5,-8.0,9.37,-2.1
2015-01-06 07:00:00,51.5,-8.0,9.37,-2.01
2015-01-06 08:00:00,51.5,-8.0,9.19,-1.99
2015-01-06 09:00:00,51.5,-8.0,8.8,-1.93
2015-01-06 10:00:00,51.5,-8.0,8.53,-1.12
2015-01-06 11:00:00,51.5,-8.0,8.1,-0.41
2015-01-06 12:00:00,51.5,-8.0,8.02,1.0
2015-01-06 13:00:00,51.5,-8.0,9.03,1.75
2015-01-06 14:00:00,51.5,-8.0,9.33,2.0
2015-01-06 15:00:00,51.5,-8.0,9.23,2.6
2015-01-06 16:00:00,51.5,-8.0,8.64,3.65
2015-01-06 17:00:00,51.5,-8.0,9.53,4.77
2015-01-06 18:00:00,51.5,-8.0,9.88,5.24
2015-01-06 19:00:00,51.5,-8.0,9.35,6.18
2015-01-06 20:00:00,51.5,-8.0,9.52,7.19
2015-01-06 21:00:00,51.5,-8.0,10.05,8.19
2015-01-06 22:00:00,51.5,-8.0,8.98,10.59
2015-01-06 23:00:00,51.5,-8.0,7.44,11.23
2015-01-07 00:00:00,51.5,-8.0,7.16,11.85
2015-01-07 01:00:00,51.5,-8.0,6.6,11.72
2015-01-07 02:00:00,51.5,-8.0,7.06,11.79
2015-01-07 03:00:00,51.5,-8.0,5.97,11.2
2015-01-07 04:00:00,51.5,-8.0,5.63,11.4
2015-01-07 05:00:00,51.5,-8.0,5.24,12.04
2015-01-07 06:00:00,51.5,-8.0,5.3,13.18
2015-01-07 07:00:00,51.5,-8.0,5.39,13.76
2015-01-07 08:00:00,51.5,-8.0,7.34,14.16
2015-01-07 09:00:00,51.5,-8.0,8.61,13.65
2015-01-07 10:00:00,51.5,-8.0,9.47,14.47
2015-01-07 11:00:00,51.5,-8.0,9.82,14.23
2015-01-07 12:00:00,51.5,-8.0,9.67,13.8
2015-01-07 13:00:00,51.5,-8.0,10.22,13.54
2015-01-07 14:00:00,51.5,-8.0,10.7,13.42
2015-01-07 15:00:00,51.5,-8.0,11.58,13.04
2015-01-07 16:00:00,51.5,-8.0,12.21,12.2
2015-01-07 17:00:00,51.5,-8.0,12.67,11.08
