,Date,latitude (degrees_north),longitude (degrees_east),u10,v10,magnitude,angle
0,2015-01-01 00:00:00,51.25,-7.75,5.25,9.51,10.862900165241324,208.9009140720015
1,2015-01-01 01:00:00,51.25,-7.75,6.36,7.94,10.173160767431133,218.6949914117883
2,2015-01-01 02:00:00,51.25,-7.75,6.41,7.5,9.866007297787693,220.51940759283565
3,2015-01-01 03:00:00,51.25,-7.75,4.41,9.44,10.419294601843255,205.04014798233663
4,2015-01-01 04:00:00,51.25,-7.75,4.79,10.55,11.586483504497817,204.4193994478429
5,2015-01-01 05:00:00,51.25,-7.75,5.34,11.25,12.45303577446078,205.39213335807804
6,2015-01-01 06:00:00,51.25,-7.75,5.27,12.14,13.234519258363713,203.46576802314885
7,2015-01-01 07:00:00,51.25,-7.75,5.37,13.0,14.065450579345121,202.4443903174106
8,2015-01-01 08:00:00,51.25,-7.75,5.63,13.6,14.719269682970006,202.48811632743306
9,2015-01-01 09:00:00,51.25,-7.75,6.3,13.94,15.297503064225873,204.3199649728558
10,2015-01-01 10:00:00,51.25,-7.75,6.29,14.68,15.97080148270587,203.19387985185554
11,2015-01-01 11:00:00,51.25,-7.75,7.73,14.61,16.528914059913312,207.88285427852796
12,2015-01-01 12:00:00,51.25,-7.75,9.15,14.11,16.81709249543452,212.96245118846645
13,2015-01-01 13:00:00,51.25,-7.75,10.05,13.24,16.622277220645792,217.20080449683363
14,2015-01-01 14:00:00,51.25,-7.75,10.21,12.46,16.10887022730024,219.33195012839758
15,2015-01-01 15:00:00,51.25,-7.75,10.91,12.01,16.225541593426087,222.25231087120346
16,2015-01-01 16:00:00,51.25,-7.75,11.47,11.57,16.291893689807825,224.7513219629443
17,2015-01-01 17:00:00,51.25,-7.75,12.46,11.01,16.627438167077937,228.5352970037922
18,2015-01-01 18:00:00,51.25,-7.75,12.84,10.13,16.354892234435543,231.72865030342263
19,2015-01-01 19:00:00,51.25,-7.75,13.53,8.45,15.951908976671099,238.01365319878897
20,2015-01-01 20:00:00,51.25,-7.75,13.9,4.88,14.731748029341258,250.65488993995388
21,2015-01-01 21:00:00,51.25,-7.75,13.56,1.37,13.629031513647623,264.2308436272049
22,2015-01-01 22:00:00,51.25,-7.75,12.84,-0.37,12.845329890664544,271.65058983842573
23,2015-01-01 23:00:00,51.25,-7.75,12.21,-1.46,12.296979303877844,276.8187174396986
24,2015-01-02 00:00:00,51.25,-7.75,11.44,-1.88,11.593446424596959,279.3323263346301
25,2015-01-02 01:00:00,51.25,-7.75,11.12,-2.53,11.40417905857322,282.8176274345917
26,2015-01-02 02:00:00,51.25,-7.75,10.31,-3.11,10.768853235140686,286.78587836273294
27,2015-01-02 03:00:00,51.25,-7.75,10.26,-3.87,10.965605318449137,290.66612343095323
28,2015-01-02 04:00:00,51.25,-7.75,9.68,-3.79,10.395503835793626,291.38178016199925
29,2015-01-02 05:00:00,51.25,-7.75,9.79,-3.49,10.393469103239783,289.6204500397181
30,2015-01-02 06:00:00,51.25,-7.75,10.12,-3.31,10.647558405568855,288.11163184762955
31,2015-01-02 07:00:00,51.25,-7.75,10.04,-3.63,10.676071374808243,289.87764866013083
